The Mummy,1932
Orphans of the Storm,1921
Night Tide,1963
One Magic Christmas,1985
Nosferatu: Original Version,1929
Broken Blossoms,1919
The Birth of a Nation,1915
The Boys from Brazil,1978
Big Doll House,1971
The Breakfast Club,1985
The Bride of Frankenstein,1935
Bustin' Loose,1981
The Beguiled,1971
Born on the Fourth of July,1989
Broadcast News,1987
Brighton Beach Memoirs,1986
The Best of Times,1986
Last Tango in Paris,1972
The Lady Vanishes,1938
Into the Woods,1990
Joe Kidd,1972
King Kong,1976
Internal Affairs,1990
Jesus Christ Superstar,1973
Easy Money,1987
Do the Right Thing,1989
Days of Heaven,1978
Disco Godfather,1979
The Eiger Sanction,1975
Elvis '56,1987
Evil Dead 2: Dead by Dawn,1987
Eat My Dust!,1976
Dr. Jekyll and Mr. Hyde,1920
48 Hrs.,1982
The Baby,1973
The Andromeda Strain,1971
Another 48 Hrs.,1990
All About Eve,1950
The Aristocats,1970
Barbarella,1968
The Asphyx,1973
Apocalypse Now,1979
Leviathan,1989
The Mark of Zorro,1920
The Mikado,1939
Lionheart,1990
Minnie and Moskowitz,1971
The Hunt for Red October,1990
The Hindenburg,1975
I Spit on Your Grave,1978
Hellbound: Hellraiser II,1988
House of Whipcord,1974
The Great Outdoors,1988
Heaven's Gate,1980
House on Haunted Hill,1959
The Golden Child,1986
The Great Waldo Pepper,1975
Godzilla: King of the Monsters,1956
High Noon,1952
The Hunchback of Notre Dame,1923
Heathers,1989
Godzilla's Revenge,1969
Henry: Portrait of a Serial Killer,1986
Godzilla vs. Mothra,1964
The Grifters,1990
A Fish Called Wanda,1988
Gentleman's Agreement,1947
Ghostbusters,1984
Fascination,1979
Go West,1925
Ferris Bueller's Day Off,1986
Gallipoli,1981
Girl on a Motorcycle,1968
The Falcon and the Snowman,1985
Red Scorpion,1989
Reefer Madness,1936
The Battleship Potemkin,1925
Platoon,1986
Re-Animator,1985
Reds,1981
Conan the Destroyer,1984
Creator,1985
Child's Play 2: Chucky's Back,1990
Chitty Chitty Bang Bang,1968
Caligula,1979
The Cat and the Canary,1927
Class of Nuke 'Em High,1986
Coming to America,1988
The Serpent and the Rainbow,1988
Silent Running,1971
Sally of the Sawdust,1925
The Secret of NIMH,1982
A Shot in the Dark,1964
Shoot Out,1971
Salome's Last Dance,1988
Slaughterhouse-Five,1972
The Toxic Avenger: Part 2,1989
WarGames,1983
Way Down East,1920
Ulzana's Raid,1972
Where the Buffalo Roam,1980
Top Gun,1986
True Grit,1969
The Toxic Avenger,1985
The Two Jakes,1990
Star Trek IV: The Voyage Home,1986
Somewhere in Time,1980
Star Trek III: The Search for Spock,1984
The Thief of Bagdad,1924
Surf Nazis Must Die,1987
Three Ages,1923
Swashbuckler,1976
Steamboat Bill  Jr.,1928
Terror of Mechagodzilla,1975
They Might Be Giants,1971
The Canterbury Tales,1972
The Sinful Nuns of St. Valentine,1974
The Great Train Robbery,1978
A Star Is Born,1937
The Mighty Peking Man,1977
Project A 2,1987
Baron Blood,1972
The Official Story,1985
On Any Sunday,1971
Nothing Sacred,1937
Beneath the 12-Mile Reef,1953
Triads: The Inside Story,1989
Operation Condor 2: Armour of the Gods,1987
Chandni,1989
Daag,1973
Marlene,1984
Chariots of the Gods,1970
Callie &#38; Son,1981
Bay of Blood,1971
Intolerance,1916
Black Sunday,1960
Lost in New York,1989
The General,1926
The Wolf Man,1941
Abbott &#38; Costello: Africa Screams,1949
Charade,1963
Deathsport,1978
Seven Chances,1925
Butch Cassidy and the Sundance Kid,1969
Dracula,1931
Love Is a Many-Splendored Thing,1955
Bloodfist 2,1990
The Last Temptation of Christ,1988
Our Town,1940
The Fox and the Hound,1981
Ghost Dad,1990
Jackie Chan's Project A,1983
The Trial,1962
The Tempest,1979
The Van,1977
Switchblade Sisters,1975
American Gigolo,1980
White Zombie,1932
The Endless Summer,1966
The House of Exorcism,1975
The Sacrifice,1986
Kill  Baby... Kill!,1966
Lisa &#38; the Devil,1974
Clue,1985
The Brother from Another Planet,1984
Manhattan,1979
The Rescuers Down Under,1990
Chronicle of Anna Magdalena Bach,1968
In Old California,1942
Tie Me Up! Tie Me Down!,1990
Dreamscape,1984
Hatchet for the Honeymoon,1970
Romeo &#38; Juliet,1968
Grease,1978
Planet of the Apes,1968
Brian's Song,1971
Star Trek II: The Wrath of Khan,1982
Strike,1925
The Awful Dr. Orlof,1962
The Girl Who Knew Too Much,1963
Black Sabbath,1964
Pumpkinhead,1988
Kabhi Kabhie,1976
Silsila,1981
Robin Hood,1973
Solar Crisis,1990
Shane,1953
Female Vampire,1973
Beach Party,1963
Frogs,1972
Pet Sematary,1989
Sorority House Massacre,1986
Rosemary's Baby,1968
The Philadelphia Experiment,1984
Santa Claus: The Movie,1985
Doctor Dolittle,1967
Blood Beast Terror,1967
Quadrophenia,1979
Mysterious Mr. Wong,1935
Brain Dead,1990
Talk Radio,1988
Slugs,1987
The Trial of Billy Jack,1974
Mashaal,1984
The Bounty,1984
My Tutor,1983
The Stuff,1985
Detroit 9000,1973
Cheech &#38; Chong's Up in Smoke,1978
White Christmas,1954
His Girl Friday,1940
Cherry 2000,1987
The Odd Couple,1968
The Sword in the Stone,1963
The Conversation,1974
Stephen King's Children of the Corn,1984
Friday Foster,1975
Foxy Brown,1974
I'm Gonna Git You Sucka,1988
Sheba  Baby,1975
Coffy,1973
Truck Turner,1974
Cabiria,1914
Attack of the Puppet People,1958
The Man from Planet X,1951
The Untouchables,1987
Die Screaming  Marianne,1971
Caesar and Cleopatra,1945
An Officer and a Gentleman,1982
Brubaker,1980
Caravans,1978
Casanova '70,1965
Casanova Brown,1944
Carmen Jones,1954
Belle of the Yukon,1944
Beverly Hills Cop II,1987
Beverly Hills Cop,1984
Breaking Away,1979
Ordinary People,1980
Terms of Endearment,1983
C.H.U.D.,1984
Black Moon Rising,1986
Sister Sister,1987
How to Marry a Millionaire,1953
The Seven Year Itch,1955
There's No Business Like Show Business,1954
Girls Just Want to Have Fun,1985
Electra,1962
Dumbo,1941
Endless Love,1981
Joe,1970
Fellini's Casanova,1976
Flashdance,1983
Fatal Attraction,1987
Crimes of the Heart,1986
Harry and Tonto,1974
Mary  Queen of Scots,1971
Metropolitan,1990
Roman Holiday,1953
My Brilliant Career,1979
Remo Williams: The Adventure Begins,1985
Never on Sunday,1960
Of Human Bondage,1934
Same Time  Next Year,1978
The Brink's Job,1978
She Done Him Wrong,1933
The Ghost and Mrs. Muir,1947
The Best Little Whorehouse in Texas,1982
Sometimes a Great Notion,1971
Tempest,1928
Svengali,1931
Sunflower,1970
The Field,1990
The African Queen,1951
The Agony and the Ecstasy,1965
The Accused,1988
Serpico,1973
The Dead,1987
The Promise,1979
The Rescuers,1977
The Inn of the Sixth Happiness,1958
The Woman in Red,1984
The Other Side of the Mountain,1975
The Paper Chase,1973
The Nasty Girl,1990
The Naked City,1948
The Sting II,1983
The Man Who Shot Liberty Valance,1962
The Molly Maguires,1970
Twelve O'Clock High,1949
The Men,1950
The Lady Eve,1941
Trading Places,1983
The Sand Pebbles,1966
Imitation of Life,1959
Witness for the Prosecution,1957
Young Mr. Lincoln,1939
War and Peace,1956
Marriage Italian Style,1964
Hondo,1953
Von Ryan's Express,1965
Valley of the Dolls,1967
Valmont,1989
Not of This Earth,1988
Zombie Lake,1981
Oasis of the Zombies,1982
The Great Gatsby,1974
The Young Girls of Rochefort,1967
Orloff and the Invisible Man,1970
Blackadder: Series 3,1987
Blackadder: Series 2,1986
Blackadder: Series 1,1983
Blackadder: Series 4,1989
Love Story,1970
Hollywood Boulevard,1976
The Libertine,1968
Blame It on Rio,1984
Lust in the Dust,1985
The Dunwich Horror,1970
Hell Up in Harlem,1973
She-Devil,1989
George Carlin: On Location With George Carlin,1977
George Carlin Again!,1978
George Carlin: Carlin on Campus,1984
George Carlin: Carlin at Carnegie,1982
The French Connection II,1975
Beach Blanket Bingo,1965
Donovan's Brain,1953
Dressed to Kill,1980
The Nine Lives of Fritz the Cat,1974
Deathstalker,1983
Barbarian Queen,1985
Colors,1988
Quigley Down Under,1990
The Return of a Man Called Horse,1976
Running Scared,1986
Terror Within,1989
Killer Klowns from Outer Space,1988
Gregory's Girl,1981
Lone Wolf McQuade,1983
The Dogs of War,1980
The Russia House,1990
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
J.D.'s Revenge,1976
De Sade,1969
The Bad News Bears,1976
The Many Adventures of Winnie the Pooh,1977
The Bad News Bears Go to Japan!,1978
The Bad News Bears in Breaking Training,1977
Triumph of the Spirit,1989
Less Than Zero,1987
Say Anything...,1989
Nakhuda,1981
Vijay,1988
Nomads,1986
Desperate Hours,1990
Monkey Business,1952
The Man from Snowy River,1982
Hard Lessons,1986
River of No Return,1954
Slap Shot,1977
The Gambler,1974
The Beloved Rogue,1927
The Iron Mask,1929
The Great Mouse Detective,1986
Siberian Lady Macbeth,1962
The Toxic Avenger: Part 3,1989
In Like Flint,1967
Cinema Paradiso,1988
Down and Out in Beverly Hills,1986
Silver Bullet,1985
Graveyard Shift,1990
Pretty in Pink,1986
The Care Bears Movie,1985
The Long Goodbye,1973
The Onion Field,1979
House II: The Second Story,1987
House,1986
Hopscotch,1980
The Sidewalks of Bangkok,1984
Transylvania 6-5000,1985
Vamp,1986
The Boys Next Door,1985
The Hills Have Eyes 2,1984
Crimson,1973
Urban Cowboy,1980
Staying Alive,1983
The Big Knife,1955
Elvira  Mistress of the Dark,1988
The Rocking Horse Winner,1950
Date with an Angel,1987
Bad Boys,1983
Can't Stop the Music,1980
Creepshow 2,1987
Highlander,1986
Hellraiser,1987
Flowers in the Attic,1987
The Cook  The Thief  His Wife  and Her Lover,1989
The Long Walk Home,1990
Death of a Salesman,1985
George Carlin: Playing with Your Head,1986
Far Out Man,1990
Road House,1989
The Water Babies,1978
A Little Sex,1982
North Shore,1987
Strand: Under the Dark Cloth,1989
The Black Stallion Returns,1983
Messenger of Death,1988
The Glass Menagerie,1973
George Carlin: What Am I Doing in New Jersey?,1988
Hardware,1990
Red Dwarf: Series 2,1988
Red Dwarf: Series 1,1988
A Doll's House,1973
Otello,1986
Roy Colt and Winchester Jack,1970
Who Framed Roger Rabbit,1988
Howling 3: The Marsupials,1987
Breakin' 2: Electric Boogaloo,1984
Beat Street,1984
Two-Way Stretch,1960
Stripped to Kill,1987
Car Wash,1976
Lianna,1983
You Only Live Once,1937
My Left Foot,1989
Zulu,1964
Two Mules for Sister Sara,1970
Battle of Britain,1969
The Eleanor Roosevelt Story,1965
Miller's Crossing,1990
The Desert Fox: The Story of Rommel,1951
Style Wars,1983
Man with a Movie Camera,1929
Revenge of the Ninja,1983
The Private Life of Sherlock Holmes,1970
Rowing with the Wind,1988
Targets,1968
House of Cards Trilogy I (BBC): House of Cards,1990
Duck Soup,1933
Back to School,1986
Sgt. Pepper's Lonely Hearts Club Band,1978
Escape to Witch Mountain,1975
Dances with Wolves,1990
Assault of the Party Nerds,1989
National Geographic: Search for the Battleship Bismarck,1989
Monty Python's The Meaning of Life,1983
They Made Me a Fugitive,1947
The Lair of the White Worm,1988
More American Graffiti,1979
Mad Monster Party,1967
How to Frame a Figg,1971
Cheech &#38; Chong's Next Movie,1980
The Shakiest Gun in the West,1968
Masterpiece Classic: Upstairs  Downstairs: Series 2,1972
Double Indemnity,1944
Elizabeth R,1971
Masterpiece Classic: Upstairs  Downstairs: Series 1,1971
Chattahoochee,1989
A Kiss Before Dying,1956
The Angry Red Planet,1959
The Manhattan Project,1986
Once Bitten,1985
Cheers: Season 1,1982
Lonesome Dove,1989
Mr. Bean: The Whole Bean,1990
Star Trek: The Next Generation: Season 1,1987
Star Trek: The Next Generation: Season 3,1989
Keeping Up Appearances,1990
All Creatures Great and Small: Series 2,1978
Law &#38; Order: Season 1,1990
Masterpiece Classic: Upstairs  Downstairs: Series 5,1975
Masterpiece Classic: Upstairs  Downstairs: Series 4,1974
Star Trek: The Next Generation: Season 4,1990
All Creatures Great and Small: Series 1,1978
Ken Burns: The Civil War,1990
Masterpiece Classic: Upstairs  Downstairs: Series 3,1973
Star Trek: The Next Generation: Season 2,1988
Star Trek: Season 3,1968
All Creatures Great and Small: Series 3,1979
Star Trek: Season 2,1967
Dark Shadows: Collection 4,1967
Dark Shadows: Collection 3,1967
Dark Shadows: Collection 2,1967
Dark Shadows: Collection 1,1967
Black Sunday,1977
Promised Land,1987
Alice in Wonderland,1951
The Dick Van Dyke Show: Season 1,1961
Dead End Drive-In,1986
National Lampoon's Christmas Vacation,1989
Frankenstein and the Monster From Hell,1974
It,1927
Bells of Coronado,1950
The Bloody Judge,1970
Days of Jesse James,1939
Faust,1926
Convoy,1978
Cheers: Season 2,1983
The Dick Van Dyke Show: Season 2,1962
Once Upon a Time in the West,1968
Moon of the Wolf,1972
Twister,1989
Crime of Passion,1957
Dead Sleep,1990
I've Heard the Mermaids Singing,1987
Transformers: Season 1,1984
One from the Heart,1982
Passion of Anna,1969
Death Wish 4: The Crackdown,1987
Flesh + Blood,1985
Death Wish 2,1982
I Was a Male War Bride,1949
The Pirates of Penzance,1983
Babar: The Movie,1989
Blacula,1972
Red Dwarf: Series 3,1989
Stanley &#38; Iris,1990
Pressure Point,1962
Biloxi Blues,1988
The Monkey Hustle,1976
Radio Bikini,1988
Best Defense,1984
The Thin Blue Line,1988
The Dick Van Dyke Show: Season 3,1963
Rosencrantz and Guildenstern Are Dead,1990
Dead Heat,1988
Powwow Highway,1989
Dragon Lord,1982
Fela Kuti: Music Is the Weapon,1982
King of New York,1990
Where the Red Fern Grows,1974
The Kids in the Hall: Season 1,1989
A Room with a View,1986
Quantum Leap: Season 1,1989
Deadly Blessing,1981
The Black Godfather,1974
The Dick Van Dyke Show: Season 4,1964
A Night in Casablanca,1946
Paris Is Burning,1990
The Winds of War,1983
Nightmares Come at Night,1970
Return of the Killer Tomatoes,1988
Return to Horror High,1987
The Border,1982
The Final Countdown,1980
Summer School,1987
Nighthawks,1981
Cheers: Season 3,1984
Shakedown,1988
Masquerade,1988
Across the Tracks,1989
Breezy,1973
The A-Team: Season 1,1983
Cold Feet,1989
Charlie Chan: The Secret Service,1944
Tuff Turf,1985
Heartburn,1986
Big Top Pee-Wee,1988
Crazy People,1990
The Scarlet Clue,1945
The Dick Van Dyke Show: Season 5,1965
A Woman Is a Woman,1961
The Big Boss,1971
The Invisible Man: Special Edition,1933
Knight Rider: Season 1,1982
The Belle of Amherst,1976
Joyride,1977
The Apple,1980
The Munsters: Season 1,1964
The Passionate Friends,1949
Another Country,1984
Columbo: Season 1,1968
Raw,1987
Moving Target,1988
Magnum P.I.: Season 1,1980
All Creatures Great and Small: Series 4,1988
Scarlet Street,1945
Mansfield Park,1983
G.I. Joe: Season 2.0,1986
Footloose,1984
The Dream Team,1989
The Man with One Red Shoe,1985
The Andy Griffith Show: Season 1,1960
True Confessions,1981
Yanks,1979
The Last of England,1988
Carve Her Name with Pride,1958
Erik the Viking,1989
Lady Chatterley's Lover,1981
My Name Is Nobody,1974
Daughters of Satan,1972
Kaala Patthar,1979
Sebastiane,1976
The Initiation,1984
Sawaal,1982
Santa Claus Conquers the Martians,1964
Sword of Gideon,1986
The Panic in Needle Park,1971
Murder One,1988
Doctor in the House,1954
Bad Timing,1980
Murder by Decree,1979
Doosara Aadmi,1973
Dr. Mabuse: The Gambler,1922
Kagemusha,1980
A Force of One,1979
Clockwise,1986
The Octagon,1980
As Tears Go By,1988
Sweet Liberty,1986
The Kids in the Hall: Season 2,1990
Cloak &#38; Dagger,1984
Days of Being Wild,1990
Revenge in the House of Usher,1988
Little Miss Marker,1980
28 Up,1985
21 Up,1977
Pride and Prejudice,1980
Explorers,1985
Howling IV: The Original Nightmare,1988
The Krays,1990
L'Age D'Or,1930
Woman in the Moon,1929
Charley Varrick,1973
Justine,1977
Battlestar Galactica: Complete Epic Series,1978
Quantum Leap: Season 2,1989
Iceman,1984
Breaker Morant: Masterworks Edition,1980
Cheers: Season 4,1985
Modern Problems,1981
Project X,1987
MacGyver: Season 1,1985
Monkey on My Back,1957
Inspector Alleyn Mysteries: Set 1,1990
Anna Lucasta,1958
Edward &#38; Mrs. Simpson,1978
Miami Vice: Season 1,1984
Crack House,1989
The Rockford Files: Season 1,1974
Paradise Alley,1978
D.C. Cab,1983
Columbo: Season 2,1972
The Fast and the Furious,1955
Bloody Birthday,1981
C.H.O.M.P.S.,1979
The Blue Angel (German Version),1930
The Hardy Boys Nancy Drew Mysteries: Season 1,1977
Lady Frankenstein,1971
The A-Team: Season 2,1983
The Vineyard,1989
Magnum P.I.: Season 2,1981
Mountaintop Motel Massacre,1986
Call Northside 777,1948
Sleepaway Camp II: Unhappy Campers,1988
Mad Dog Morgan,1976
Knight Rider: Season 2,1983
Sleepaway Camp III: Teenage Wasteland,1989
Attack of the Crab Monsters,1957
The Bingo Long Traveling All-Stars and Motor Kings,1976
5 Dolls for an August Moon,1970
Au Pair Girls,1972
Christopher Columbus,1949
The Twilight Zone: Season 2 (Original Series),1960
The Secret of Nikola Tesla,1980
Gung Ho!,1943
Jane Eyre,1983
Hell's House,1932
Ffolkes,1979
Going Places,1974
The Sadistic Baron Von Klaus,1962
License to Drive,1988
Dr. Orloff's Monster,1967
Devil's Kiss,1976
Creature,1985
Doomed to Die,1940
Le Professionnel,1981
Knives of the Avenger,1966
Boccaccio '70,1962
Airwolf: Season 1,1984
Journey of Hope,1990
Cheers: Season 5,1986
The Andy Griffith Show: Season 2,1961
Quantum Leap: Season 3,1990
Mandabi,1968
Xala,1975
MacGyver: Season 2,1986
Crusade in the Pacific: America at War,1951
The Noose Hangs High,1948
Dragnet '67: Season 1,1967
Cry-Baby,1990
All Creatures Great and Small: Series 5,1988
Max Dugan Returns,1983
The Andy Griffith Show: Season 3,1962
Vernon  Florida,1981
Curse of the Pink Panther,1983
Calendar Girl Murders,1984
MacGyver: Season 3,1987
Crucible of Horror,1970
McMillan &#38; Wife: Season 1,1971
Columbo: Season 3,1973
Bleak House,1985
Cheers: Season 6,1987
Adam-12: Season 1,1968
Emergency!: Season 1,1972
The Secret Garden,1975
Story of a Love Affair,1950
Black Girl,1966
Miami Vice: Season 2,1985
Bush Christmas,1947
Zeta One,1969
Leave It to Beaver: Season 1,1957
The Munsters: Season 2,1965
The Escape Artist,1982
Hammett,1982
Cheers: Season 7,1988
BMX Bandits,1983
Kolchak: The Night Stalker: The Complete Series,1974
McLintock!,1963
Noorie,1979
Faasle,1985
The Andy Griffith Show: Season 4,1963
MacGyver: Season 4,1988
Simba,1955
The Shadow Riders,1982
Once a Jolly Swagman,1949
Konga,1961
Madame Sousatzka,1988
Beach Balls,1988
The Andy Griffith Show: Season 5,1964
Magnum P.I.: Season 3,1982
The A-Team: Season 3,1984
Knight Rider: Season 3,1984
MacGyver: Season 5,1989
Emergency!: Season 2,1972
The Adventures of Mark Twain,1985
Yesterday  Today and Tomorrow,1963
Daddy Long Legs,1955
The Gospel Road: A Story of Jesus,1973
The Super Mario Bros. Super Show!,1989
Columbo: Season 4,1974
Leave It to Beaver: Season 2,1958
Magnum P.I.: Season 4,1983
To Be or Not to Be,1983
The Andy Griffith Show: Season 6,1965
Knight Rider: Season 4,1985
The A-Team: Season 4,1985
The Six Wives of Henry VIII,1970
Heart of the Rockies,1937
Visiting Hours,1982
Coach: Season 1,1989
The Rockford Files: Season 2,1975
Cheers: Season 8,1989
MacGyver: Season 6,1990
Curse of the Swamp Creature,1966
Columbo: Season 5,1975
The Incredible Hulk: Season 1,1978
The Boy &#38; the Pirates,1960
Warning Shadows,1923
All Creatures Great and Small: Series 6,1989
The River's Edge,1957
The Double Headed Eagle: Hitler's Rise to Power 1918-1933,1973
Amazing Stories: Season 1,1985
The Andy Griffith Show: Season 7,1966
The Sex Thief,1974
A Bit of Fry and Laurie: Season 2,1990
A Bit of Fry and Laurie: Season 1,1989
Virgin Witch,1972
Hunk,1987
The A-Team: Season 5,1986
Concorde Affair,1978
Alfred Hitchcock Presents: Season 2,1956
Zulu Dawn,1979
The Wild Geese,1978
